product_id,product_category,date,cost_price,selling_price,competitor_price,units_sold,inventory,promotion,season,day_of_week,customer_rating,demand,revenue,profit
HOBBIES_1_001,HOBBIES,2015-12-23,5.369,8.26,8.5078,3,100,0,Autumn,Wednesday,4.1,3,24.78,8.673
HOBBIES_1_051,HOBBIES,2015-12-23,3.8870000000000005,5.98,6.159400000000001,0,100,0,Autumn,Wednesday,4.1,0,0.0,0.0
HOBBIES_1_105,HOBBIES,2015-12-23,4.342,6.68,6.8804,0,100,0,Autumn,Wednesday,4.1,0,0.0,0.0
HOBBIES_1_155,HOBBIES,2015-12-23,12.337000000000002,18.98,19.549400000000002,9,100,0,Autumn,Wednesday,4.1,9,170.82,59.78699999999999
HOBBIES_1_207,HOBBIES,2015-12-23,1.807,2.78,2.8634,0,100,0,Autumn,Wednesday,4.1,0,0.0,0.0
HOBBIES_1_258,HOBBIES,2015-12-23,7.657,11.78,12.1334,1,100,0,Autumn,Wednesday,4.1,1,11.78,4.122999999999999
HOBBIES_1_309,HOBBIES,2015-12-23,3.3280000000000003,5.12,5.2736,2,100,0,Autumn,Wednesday,4.1,2,10.24,3.5839999999999996
HOBBIES_1_359,HOBBIES,2015-12-23,0.9555,1.47,1.5141,0,100,0,Autumn,Wednesday,4.1,0,0.0,0.0
HOBBIES_1_409,HOBBIES,2015-12-23,3.7439999999999998,5.76,5.9328,0,100,0,Autumn,Wednesday,4.1,0,0.0,0.0
HOBBIES_2_035,HOBBIES,2015-12-23,2.9055,4.47,4.6041,1,100,0,Autumn,Wednesday,4.1,1,4.47,1.5644999999999998
HOBBIES_2_085,HOBBIES,2015-12-23,0.6305,0.97,0.9991,2,100,0,Autumn,Wednesday,4.1,2,1.94,0.679
HOBBIES_2_135,HOBBIES,2015-12-23,0.325,0.5,0.515,0,100,0,Autumn,Wednesday,4.1,0,0.0,0.0
HOUSEHOLD_1_037,HOUSEHOLD,2015-12-23,2.7495000000000003,4.23,4.3569,0,100,0,Autumn,Wednesday,4.1,0,0.0,0.0
HOUSEHOLD_1_089,HOUSEHOLD,2015-12-23,3.393,5.22,5.3766,0,100,0,Autumn,Wednesday,4.1,0,0.0,0.0
HOUSEHOLD_1_140,HOUSEHOLD,2015-12-23,9.730500000000001,14.97,15.4191,1,100,0,Autumn,Wednesday,4.1,1,14.97,5.2395
HOUSEHOLD_1_190,HOUSEHOLD,2015-12-23,3.2110000000000003,4.94,5.0882000000000005,0,100,0,Autumn,Wednesday,4.1,0,0.0,0.0
HOUSEHOLD_1_241,HOUSEHOLD,2015-12-23,5.1610000000000005,7.94,8.1782,0,100,0,Autumn,Wednesday,4.1,0,0.0,0.0
HOUSEHOLD_1_292,HOUSEHOLD,2015-12-23,4.212000000000001,6.48,6.6744,0,100,0,Autumn,Wednesday,4.1,0,0.0,0.0
HOUSEHOLD_1_342,HOUSEHOLD,2015-12-23,11.6805,17.97,18.5091,2,100,0,Autumn,Wednesday,4.1,2,35.94,12.578999999999997
HOUSEHOLD_1_395,HOUSEHOLD,2015-12-23,3.172,4.88,5.0264,0,100,0,Autumn,Wednesday,4.1,0,0.0,0.0
